Name,Day,Date,Time,Result,Bookmakers,1,2
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", 10Bet  ,1.20,4.35
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", 10x10bet  ,1.19,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", 1xBet  ,1.22,4.34
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", 1xStavka.ru  ,1.22,4.34
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", bet-at-home  ,1.20,4.10
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", bet365  ,1.22,4.50
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", bet365.it  ,1.22,4.50
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Betfair  ,1.22,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Bethard  ,1.20,4.35
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Betsafe  ,1.22,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Betsensation  ,1.19,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Betsson  ,1.22,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", BetVictor  ,1.20,4.50
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Betway  ,1.25,3.55
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", BetWorld  ,1.20,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", BoyleSports  ,1.20,4.10
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Chance.cz  ,1.21,4.44
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", ComeOn  ,1.20,4.35
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Curebet  NEW,1.19,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", eFortuna.pl  ,1.22,4.29
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Expekt  ,1.23,4.10
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", France Pari  ,1.07,3.85
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", GGBET  ,1.22,4.08
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", GGBET.ru  ,1.22,4.08
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", iFortuna.cz  ,1.22,4.29
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", iFortuna.sk  ,1.22,4.29
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Interwetten  ,1.20,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Interwetten.es  ,1.20,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Lasbet  NEW,1.19,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Leon.ru  ,1.24,4.20
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Leonbets  ,1.24,4.20
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Marathonbet  ,1.24,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Marathonbet.ru  ,1.24,4.15
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", MELbet  ,1.23,4.36
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", NordicBet  ,1.22,4.00
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", Pinnacle  ,1.22,4.41
Port Adelaide Power - St Kilda Saints,Sunday,25 Apr  2021,16:40,"Final result 14.9 (93)-5.9 (39) (4.1 (25)-1.4 (10), 4.2 (26)-1.1 (7), 3.5 (23)-1.2 (8), 3.1 (19)-2.2 (14))", SAZKAbet.cz  ,1.20,4.35
