Name,Day,Date,Time,Result,Bookmakers,1,2
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", 10Bet  ,1.67,2.30
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", 188BET  ,1.69,2.34
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", 1xBet  ,1.72,2.25
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", 1xStavka.ru  ,1.72,2.25
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", 888sport  ,1.66,2.25
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", bet-at-home  ,1.64,2.22
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", bet365  ,1.66,2.30
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Betclic.fr  ,1.52,2.17
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Betfair  ,1.63,2.30
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Bethard  ,1.67,2.30
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Betsafe  ,1.67,2.32
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Betsson  ,1.67,2.33
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", BetVictor  ,1.65,2.25
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", Betway  ,1.67,2.30
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", BetWorld  ,1.65,2.20
Los Angeles Dodgers - Boston Red Sox,Monday,29 Oct  2018,08:15,"Final result 1:5 (1:2, 0:0, 0:0, 0:0, 0:0, 0:1, 0:1, 0:1, 0:0)", BoyleSports  ,1.67,2.25
