Name,Day,Date,Time,Result,Bookmakers,1,2
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, 10Bet  ,1.69,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, 188BET  ,1.79,1.99
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, 1xBet  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, 1xStavka.ru  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, 888sport  ,1.78,2.04
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, bet365  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, bet365.it  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Betfred  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Bethard  ,1.69,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Betsafe  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Betsensation  ,1.69,2.04
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Betsson  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, BetVictor  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Betway  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, BetWorld  ,1.75,2.05
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, BoyleSports  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, bwin  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, bwin.es  ,1.80,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, bwin.it  ,1.75,1.95
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Chance.cz  ,1.65,2.25
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, ComeOn  ,1.69,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Coolbet  ,1.78,2.01
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Expekt  ,1.75,2.00
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, iFortuna.cz  ,1.65,2.24
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Interwetten  ,1.75,2.05
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Interwetten.es  ,1.75,2.05
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, MELbet  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, NordicBet  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, SBOBET  ,1.73,2.07
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Tipsport.cz  ,1.65,2.25
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Tipsport.sk  ,1.65,2.25
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, Unibet  ,1.78,2.04
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, William Hill  ,1.73,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, WilliamHill.it  ,1.72,2.10
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs, youwin  ,1.53,2.35
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs,Average,1.73,2.09
Wade J. - Humphries L.,Monday,08 Mar  2021,05:05,Final result 11:5 best of 21 legs,Highest,1.80,2.35
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, 10Bet  ,3.95,1.24
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, 188BET  ,4.10,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, 1xBet  ,3.98,1.27
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, 1xStavka.ru  ,3.98,1.27
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, 888sport  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bet-at-home  ,3.85,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bet365  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bet365.it  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Betfred  ,4.20,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Bethard  ,3.90,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Betsafe  ,4.20,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Betsensation  ,3.83,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Betsson  ,3.75,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, BetVictor  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Betway  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, BetWorld  ,3.60,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, BoyleSports  ,4.00,1.20
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bwin  ,3.90,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bwin.es  ,3.90,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, bwin.it  ,3.75,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Chance.cz  ,4.32,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, ComeOn  ,3.90,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Coolbet  ,4.60,1.17
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Dafabet  ,4.33,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Expekt  ,3.80,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, iFortuna.cz  ,4.06,1.24
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Interwetten  ,3.60,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Interwetten.es  ,3.60,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Marathonbet  ,4.05,1.26
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Marathonbet.ru  ,4.05,1.26
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, MELbet  ,3.98,1.27
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, NordicBet  ,4.20,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Pinnacle  ,4.16,1.24
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, PlanetWin  ,4.00,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, SBOBET  ,3.32,1.23
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Tipsport.cz  ,4.32,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Tipsport.sk  ,4.32,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Totolotek.pl  ,3.73,1.23
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Unibet  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Unibet.it  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, William Hill  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, WilliamHill.it  ,4.00,1.25
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, Winline.ru  ,3.86,1.22
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs, youwin  ,4.50,1.18
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs,Average,3.99,1.23
Humphries L. - van Gerwen M.,Monday,08 Mar  2021,04:10,Final result 11:5 best of 21 legs,Highest,4.60,1.27
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, 10Bet  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, 188BET  ,2.58,1.49
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, 1xBet  ,2.68,1.47
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, 1xStavka.ru  ,2.68,1.47
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, 888sport  ,2.60,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, bet365  ,2.62,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, bet365.it  ,2.62,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Betfred  ,2.50,1.53
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Bethard  ,2.50,1.49
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Betsafe  ,2.45,1.53
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Betsensation  ,2.44,1.49
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Betsson  ,2.45,1.53
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, BetVictor  ,2.63,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Betway  ,2.63,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, BetWorld  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, BoyleSports  ,2.38,1.57
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, bwin  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, bwin.es  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, bwin.it  ,2.50,1.48
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Chance.cz  ,2.76,1.45
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, ComeOn  ,2.50,1.49
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Coolbet  ,2.90,1.45
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Dafabet  ,2.56,1.52
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Expekt  ,2.45,1.48
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, iFortuna.cz  ,2.51,1.53
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Interwetten  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Interwetten.es  ,2.55,1.50
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Marathonbet  ,2.63,1.51
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, Marathonbet.ru  ,2.63,1.51
Wade J. - Price G.,Monday,08 Mar  2021,03:10,Final result 11:6 best of 21 legs, MELbet  ,2.68,1.47
